User,Title,Status,URL,Jurisdiction,Jurisdiction ID,Agency,Agency ID,Followup Date,Estimated Completion Date,Description,Tracking Number,Embargo,Days since submitted,Days since updated,Projects,Tags
ingalls,Civic Address Dataset,Completed,www.muckrock.com/foi/dauphin-county-27277/civic-address-dataset-46069/,Dauphin County,27277,Open Records,10372,,,"A Shapefile or CSV containing at minimum the Address Points (house # and street name) and their corresponding Latitude/Longitude. If additional data such as the Unit Number, City, Zipcode, Parcel Id exists they should be included as well.

If this cannot be accessed, the parcel file including situs address would suffice.

Other names for this include: E911 Address Database, Civic Address File, Parcel Dataset, Land Ownership Dataset, Tax Parcels, Address Points.",,False,16,0,OpenAddresses US FOIA Data Collection,
ingalls,"Jackson AR, Civic Address Data",Processing,www.muckrock.com/foi/jackson-county-9614/jackson-ar-civic-address-data-46271/,Jackson County,9614,Open Records,10444,2017-12-11,,"A Shapefile or CSV containing at minimum the Address Points (house # and street name) and their corresponding Latitude/Longitude. If additional data such as the Unit Number, City, Zipcode, Parcel Id exists they should be included as well.

If this cannot be accessed, the parcel file including situs address would suffice.

Other names for this include: E911 Address Database, Civic Address File, Parcel Dataset, Land Ownership Dataset, Tax Parcels, Address Points.

I also intent to publish the data via the OpenAddresses Publication platform and would request a waiver of fees for the request.",,False,8,0,OpenAddresses US FOIA Data Collection,
ingalls,"Oceana MI, Civic Address Data",Awaiting Response,www.muckrock.com/foi/oceana-county-16727/oceana-mi-civic-address-data-46373/,Oceana County,16727,Open Records,10480,2017-12-13,,"A Shapefile or CSV containing at minimum the Address Points (house # and street name) and their corresponding Latitude/Longitude. If additional data such as the Unit Number, City, Zipcode, Parcel Id exists they should be included as well.

If this cannot be accessed, the parcel file including situs address would suffice.

Other names for this include: E911 Address Database, Civic Address File, Parcel Dataset, Land Ownership Dataset, Tax Parcels, Address Points.

I also intent to publish the data via the OpenAddresses Publication platform and would request a waiver of fees for the request.",,False,2,0,OpenAddresses US FOIA Data Collection,
ingalls,Civic Address Dataset,Completed,www.muckrock.com/foi/wyoming-27963/civic-address-dataset-46052/,Wyoming,27963,Open Records,10364,2017-12-22,,"A Shapefile or CSV containing at minimum the Address Points (house # and street name) and their corresponding Latitude/Longitude. If additional data such as the Unit Number, City, Zipcode, Parcel Id exists they should be included as well.

If this cannot be accessed, the parcel file including situs address would suffice.

Other names for this include: E911 Address Database, Civic Address File, Parcel Dataset, Land Ownership Dataset, Tax Parcels, Address Points.",,False,16,1,OpenAddresses US FOIA Data Collection,
ingalls,Civic Address Dataset,Awaiting Response,www.muckrock.com/foi/schuylkill-county-27308/civic-address-dataset-46068/,Schuylkill County,27308,Open Records,10371,2017-12-22,2017-12-22,"A Shapefile or CSV containing at minimum the Address Points (house # and street name) and their corresponding Latitude/Longitude. If additional data such as the Unit Number, City, Zipcode, Parcel Id exists they should be included as well.

If this cannot be accessed, the parcel file including situs address would suffice.

Other names for this include: E911 Address Database, Civic Address File, Parcel Dataset, Land Ownership Dataset, Tax Parcels, Address Points.",,False,16,1,OpenAddresses US FOIA Data Collection,
ingalls,"Berrien MI, Civic Address Data",Payment Required,www.muckrock.com/foi/berrien-county-16674/berrien-mi-civic-address-data-46396/,Berrien County,16674,Open Records,10503,,,"A Shapefile or CSV containing at minimum the Address Points (house # and street name) and their corresponding Latitude/Longitude. If additional data such as the Unit Number, City, Zipcode, Parcel Id exists they should be included as well.

If this cannot be accessed, the parcel file including situs address would suffice.

Other names for this include: E911 Address Database, Civic Address File, Parcel Dataset, Land Ownership Dataset, Tax Parcels, Address Points.

I also intent to publish the data via the OpenAddresses Publication platform and would request a waiver of fees for the request.",,False,2,1,OpenAddresses US FOIA Data Collection,
ingalls,"Lenawee County MI, Civic Address Data",Payment Required,www.muckrock.com/foi/lenawee-county-16709/lenawee-county-mi-civic-address-data-46402/,Lenawee County,16709,Open Records,10509,2017-12-22,,"A Shapefile or CSV containing at minimum the Address Points (house # and street name) and their corresponding Latitude/Longitude. If additional data such as the Unit Number, City, Zipcode, Parcel Id exists they should be included as well.

If this cannot be accessed, the parcel file including situs address would suffice.

Other names for this include: E911 Address Database, Civic Address File, Parcel Dataset, Land Ownership Dataset, Tax Parcels, Address Points.

I also intent to publish the data via the OpenAddresses Publication platform and would request a waiver of fees for the request.",,False,2,1,OpenAddresses US FOIA Data Collection,
ingalls,"Mecosta MI, GIS Data Distribution",Completed,www.muckrock.com/foi/mecosta-county-16717/mecosta-mi-gis-data-distribution-46450/,Mecosta County,16717,Open Records,10481,,,"Any and all records pertaining to the distribution, sharing, or purchase of the county's Parcel/Civic Address Layer during the last 5 years

More specifically:
- all emails between county employees regarding the purchase, sale, or distribution of the county's parcel/address GIS dataset during the last 5 years.
- all emails between county employees and external entities regarding purchase, sale, or distribution of the county's parcel/address GIS dataset during the last 5 years.
- all contracts between the county and external entities regarding the fees and license terms around the county's parcel/address GIS dataset during the last 5 years.

Secondly all records, (emails, spreadsheets, etc) pertaining to the operating costs & budget for the ongoing updates and maintenance to the parcel/address GIS dataset during the last 5 years.",,False,2,1,,meta
ingalls,Civic Address Dataset,Awaiting Acknowledgement,www.muckrock.com/foi/delaware-county-27278/civic-address-dataset-46073/,Delaware County,27278,Open Records,10376,2017-12-11,,"A Shapefile or CSV containing at minimum the Address Points (house # and street name) and their corresponding Latitude/Longitude. If additional data such as the Unit Number, City, Zipcode, Parcel Id exists they should be included as well.

If this cannot be accessed, the parcel file including situs address would suffice.

Other names for this include: E911 Address Database, Civic Address File, Parcel Dataset, Land Ownership Dataset, Tax Parcels, Address Points.",,False,16,2,OpenAddresses US FOIA Data Collection,
ingalls,Civic Address Dataset,Fix Required,www.muckrock.com/foi/clarion-county-27271/civic-address-dataset-46080/,Clarion County,27271,Open Records,10382,,,"A Shapefile or CSV containing at minimum the Address Points (house # and street name) and their corresponding Latitude/Longitude. If additional data such as the Unit Number, City, Zipcode, Parcel Id exists they should be included as well.

If this cannot be accessed, the parcel file including situs address would suffice.

Other names for this include: E911 Address Database, Civic Address File, Parcel Dataset, Land Ownership Dataset, Tax Parcels, Address Points.",,False,16,2,OpenAddresses US FOIA Data Collection,
